订单编号,顾客ID,商品ID,购买时间,购买数量,商品价格
5UHWYDQOGW,CUST14176,PROD03824,2024-10-01 00:05:42,7,196.05
TU2CMWEVAH,CUST61888,PROD64706,2024-07-26 07:45:05,2,496.57
WPBZP6FTTD,CUST79222,PROD92134,2023-12-29 18:33:13,3,274.03
4OJRO6HW09,CUST95736,PROD36320,2023-12-05 20:06:08,7,708.38
VPTN1SHAV8,CUST80659,PROD29817,2024-07-18 19:37:43,10,492.46
QDV0HRBDBR,CUST14417,PROD80801,2024-02-05 10:35:09,2,510.43
JX0WV5JLAZ,CUST82867,PROD33704,2024-03-14 03:49:09,9,481.75
PTA2JCZSTP,CUST10709,PROD10182,2024-05-04 01:21:34,4,231.19
JXHTG4KG8J,CUST07177,PROD92348,2024-06-28 09:03:07,7,519.95
B30NP7TVJK,CUST09733,PROD61174,2024-04-17 13:16:50,7,545.83
S1ZQ91FJ5Q,CUST44060,PROD17968,2023-12-04 15:30:59,8,929.61
7SGQHYUE3Y,CUST65961,PROD13106,2024-02-17 10:07:01,1,213.18
XFXNVCXPBX,CUST03745,PROD91212,2024-01-09 10:10:24,5,315.5
JUGTR0YSDV,CUST07009,PROD49945,2024-02-03 13:09:37,3,324.53
QYOSLP5YKJ,CUST74124,PROD69817,2024-01-13 02:18:01,6,873.68
9P87DNGXWE,CUST15913,PROD00920,2024-05-01 02:27:51,1,808.59
MNK0UZRROA,CUST05007,PROD57646,2024-07-13 15:07:34,10,631.49
04NIY3E7TN,CUST36885,PROD28151,2023-12-17 07:18:11,9,95.33
23GZ9OWKEL,CUST44595,PROD14919,2024-08-19 00:22:48,1,389.51
G4ACXVSP1E,CUST57721,PROD09197,2023-11-17 20:37:15,9,111.18
VFPNVD04TH,CUST35370,PROD33211,2023-12-30 04:01:39,1,432.06
8NZU2EN26G,CUST66099,PROD11697,2024-02-28 05:03:09,10,161.34
U8TMJ1HTXL,CUST32336,PROD67293,2024-02-13 00:47:09,9,865.58
RPTY4XH2IP,CUST62053,PROD15332,2024-04-12 15:07:11,1,388.55
4MUNVW4VCV,CUST62910,PROD74477,2024-02-12 08:50:23,2,394.97
U10S1TA97Y,CUST17699,PROD86552,2024-01-04 13:37:05,6,860.8
ABJPG2LDH1,CUST95833,PROD55493,2024-11-08 14:34:43,7,841.65
H8W3UZ7UEE,CUST38598,PROD33344,2024-04-13 16:10:51,6,771.25
2SPJTGC2T9,CUST41597,PROD31981,2024-09-22 16:43:40,9,438.42
GMLY4WK8LY,CUST50550,PROD54246,2024-06-14 09:01:06,3,365.33
YEJUB387Q2,CUST66516,PROD97745,2024-05-08 04:03:44,9,597.23
YVH4NQSGWB,CUST64010,PROD43005,2024-08-16 14:36:30,3,860.06
5SEBEJPI3J,CUST28554,PROD61107,2023-12-23 01:08:08,1,165.42
V1R8JXO17H,CUST89582,PROD04796,2024-10-15 13:03:44,3,459.05
YS6SY5NESS,CUST98558,PROD48750,2024-06-05 17:55:46,5,715.19
J90KVA5T17,CUST52458,PROD98926,2024-09-02 16:03:17,8,842.27
0L7ELWJFW3,CUST25237,PROD52823,2023-12-23 23:52:38,8,459.37
HZQSUFX2QN,CUST05472,PROD16838,2024-08-14 11:51:19,8,326.31
WEC7EQ57K3,CUST02134,PROD26068,2024-05-04 17:18:42,5,453.15
5IFREJ4SJ3,CUST39832,PROD04905,2024-01-14 18:13:12,2,624.23
O5LF0N1FCV,CUST75262,PROD60503,2024-09-01 22:42:03,4,833.86
PL5O1NVTBR,CUST49913,PROD24294,2024-08-01 07:26:35,10,984.43
4XPWTA6004,CUST51711,PROD95967,2024-10-01 19:33:31,10,185.61
7QKSKZ1QCJ,CUST23592,PROD96267,2024-01-16 03:34:58,4,628.73
NWQSHVLE7O,CUST61056,PROD69640,2024-03-30 10:18:28,3,185.83
QGQV7O2F00,CUST72255,PROD99988,2024-01-29 03:12:40,2,327.57
FDYJY5EGC0,CUST73333,PROD25547,2024-04-14 07:54:35,5,845.59
3A266TSFFQ,CUST02352,PROD92349,2024-06-29 20:24:04,9,624.88
SO3B8ZF7AJ,CUST76431,PROD41864,2024-04-07 03:10:20,6,301.99
D4O1FEYJJZ,CUST61100,PROD65653,2024-08-23 01:31:11,2,10.75
XP2KUYO76O,CUST53482,PROD49693,2024-09-12 23:09:57,3,319.98
J5E21XZMUY,CUST59339,PROD27476,2023-11-27 16:04:16,8,798.02
CGFVPQ4YUI,CUST95693,PROD73491,2024-07-25 09:52:24,1,388.66
SYVV0UF50W,CUST31399,PROD25286,2024-10-13 17:13:02,8,248.23
MMRA6GQNZD,CUST10043,PROD04430,2024-03-01 10:15:22,9,656.88
WFGTG1YBCJ,CUST99420,PROD29198,2024-10-26 17:21:52,6,165.67
DNRZWPUX24,CUST31601,PROD59349,2024-01-23 14:51:21,6,945.73
563KGZI1YY,CUST99018,PROD21740,2024-09-15 13:51:40,6,889.73
AH1J3YT369,CUST18068,PROD69851,2024-09-28 08:55:59,3,362.63
I0STQXIEW9,CUST70172,PROD23034,2023-12-24 19:10:21,10,221.42
895CEENNI1,CUST80963,PROD86713,2024-07-05 23:40:27,3,989.46
QGC095OSFP,CUST50444,PROD54544,2024-07-22 20:11:30,2,905.14
UABYK92QYD,CUST64962,PROD75324,2024-04-16 01:59:50,6,337.61
XSXU7MJUY3,CUST54408,PROD99100,2024-07-09 09:49:02,5,312.71
IQMQE1R6B8,CUST87675,PROD97295,2024-06-12 06:41:45,5,657.52
IUJ7Q6T6JF,CUST97972,PROD37821,2024-02-22 05:08:59,10,284.12
PTC11ZGW0N,CUST88795,PROD51769,2024-08-05 11:49:03,9,508.99
O3MDY3DHH7,CUST79557,PROD54007,2024-02-25 12:05:23,3,549.49
62Z266HIFY,CUST42964,PROD91630,2023-11-28 07:36:42,4,991.42
BNZYCK40J7,CUST61973,PROD07510,2024-01-27 10:57:58,10,873.25
LV6CSVZCX4,CUST29946,PROD36531,2024-01-03 15:30:56,9,386.49
AK1B3UZ181,CUST43426,PROD93339,2023-11-23 04:24:27,3,358.94
WEW3MXR7HA,CUST81752,PROD58949,2024-08-19 22:38:01,2,944.63
3RYS6TY53N,CUST19150,PROD61730,2024-07-11 04:46:43,1,502.88
7GKIBXOFIS,CUST73621,PROD93245,2024-05-01 17:40:33,2,774.25
ZW8ZETD1CR,CUST75389,PROD76322,2024-03-12 09:04:27,8,930.15
WG4KXZ0C3A,CUST98463,PROD60975,2024-02-16 09:53:32,6,135.46
TLMYN8DMS5,CUST64486,PROD95830,2023-12-14 03:30:50,4,60.26
Q1YYZP1ISK,CUST65467,PROD98677,2024-02-10 06:35:19,6,545.29
GZ81E1TPCH,CUST32176,PROD65774,2023-12-04 18:03:14,8,759.81
6P491PFAU8,CUST01110,PROD69937,2024-09-20 14:59:28,6,86.76
GQWB0D97Q0,CUST35677,PROD77034,2024-01-22 21:15:26,1,465.42
J19GNPX6AX,CUST20980,PROD68574,2024-05-24 16:16:27,3,892.64
HPL0267L7C,CUST76825,PROD93595,2024-05-13 23:27:11,10,467.18
DGWJ5V10HS,CUST92927,PROD40811,2024-01-12 05:56:52,10,862.91
JECUJDFMMT,CUST37102,PROD32887,2024-01-30 21:12:54,4,882.9
O321LTB65W,CUST75956,PROD28235,2024-04-29 20:22:16,8,455.13
1PIAPCFVBM,CUST87991,PROD85644,2023-12-14 21:23:03,6,971.13
Y5305WGGJT,CUST49647,PROD42742,2024-02-15 21:52:14,5,224.77
PRSU2XOP3T,CUST64076,PROD50323,2024-07-09 16:43:10,10,143.48
7MOT0U1E0T,CUST33333,PROD74245,2023-12-10 05:29:49,9,355.82
3IFE1XZ3GG,CUST10519,PROD25812,2024-07-01 16:48:25,6,373.12
OYB98XY9S5,CUST15403,PROD53559,2024-07-25 00:32:51,9,693.34
UJ09Q414NM,CUST84773,PROD76587,2024-11-05 22:38:34,1,78.16
55713PIS2D,CUST08489,PROD21324,2023-12-13 17:18:55,8,326.76
KE76FWCDWK,CUST26196,PROD03626,2024-07-28 05:08:46,2,468.36
EYXZF0V1KC,CUST42040,PROD59188,2024-03-25 09:44:50,5,769.89
9OI3Z7AO52,CUST39462,PROD27364,2024-01-31 11:43:32,2,515.56
P4EZ6U00SH,CUST46320,PROD97260,2024-02-14 01:40:48,3,15.7
6BLPFKDWBB,CUST78536,PROD11026,2024-05-07 18:00:18,2,22.18
AA1U7TK84Z,CUST47179,PROD73453,2024-02-10 05:59:35,3,681.1
JV38ICUPUV,CUST44124,PROD06632,2024-06-06 06:15:21,10,413.86
95YMX8MIZC,CUST76926,PROD01786,2024-07-07 07:20:19,7,843.55
KBHOR58TQA,CUST86334,PROD30952,2024-01-26 15:22:45,1,850.26
CUQRYQLG4B,CUST62814,PROD71285,2024-01-18 06:54:48,6,624.56
HICP5YATX7,CUST38525,PROD64478,2024-09-01 21:07:14,3,307.75
AEGZV3EELO,CUST01859,PROD36304,2024-05-10 06:06:12,2,111.84
YQG4X87T4C,CUST51077,PROD83889,2024-07-21 00:02:50,3,159.43
174MP4T6HE,CUST18512,PROD77256,2024-10-09 06:00:51,8,740.86
DOI1DJ047Z,CUST68880,PROD16338,2024-03-24 10:02:58,4,335.05
9J0J3OSOYX,CUST64587,PROD61841,2024-08-01 02:14:10,6,583.61
ST79DXMTZX,CUST81795,PROD42604,2024-03-09 05:49:22,9,403.42
OTYR75RZ2N,CUST25827,PROD17636,2023-11-23 03:47:39,2,318.77
IMYP0885QN,CUST50835,PROD95929,2024-11-09 20:50:10,3,355.18
71QO4LINN5,CUST06579,PROD24344,2023-12-25 10:08:09,8,716.31
1KCXBN407F,CUST89904,PROD50300,2024-09-15 07:08:06,10,520.15
H8JB33TEN6,CUST52119,PROD66511,2024-05-19 18:37:43,10,21.49
M4XAPZGEZS,CUST05200,PROD76324,2024-02-25 22:03:57,4,903.26
2AMIPMTVH1,CUST25041,PROD53297,2024-08-21 22:01:16,3,925.82
98OKDHERD4,CUST31511,PROD16990,2024-03-06 01:20:04,3,559.43
0IATHAD5D2,CUST73606,PROD12595,2023-11-28 07:59:05,9,177.16
04DZ0EVQ0J,CUST45711,PROD85657,2024-07-29 08:57:43,7,884.5
PUD4IOAS4S,CUST61014,PROD06592,2024-06-16 02:16:52,4,257.59
VPHS1T1YGS,CUST80852,PROD87164,2024-11-08 16:07:05,7,191.94
VD5O84NBT5,CUST49635,PROD60297,2024-06-26 17:06:29,10,206.36
JSNJTXUSIP,CUST42222,PROD41238,2024-09-26 06:23:04,8,922.85
LTTTBG220B,CUST83428,PROD14185,2024-02-13 02:06:39,2,939.72
E5Q3V2HQGV,CUST11080,PROD87403,2023-11-27 06:51:21,1,201.11
ITMMFTAU3Y,CUST96981,PROD07248,2024-01-18 20:06:23,4,263.29
2ROOGJZABT,CUST91820,PROD87420,2023-12-03 08:17:34,6,212.92
S685LU3KTD,CUST64018,PROD10823,2024-02-14 14:00:41,2,264.02
3JKB3Y8W13,CUST74370,PROD08813,2024-06-10 00:26:37,9,537.22
A45IVNGWNJ,CUST02629,PROD19084,2024-05-29 01:40:06,6,357.46
75B7DZSN8E,CUST44684,PROD82092,2023-12-23 02:50:13,7,346.91
MCWA1VUYE5,CUST75997,PROD31379,2023-12-05 22:56:16,4,117.64
G0VVYL03IT,CUST56153,PROD10658,2024-03-04 07:01:34,2,809.65
7W31EYOJUX,CUST99396,PROD84257,2024-05-22 10:16:51,5,244.67
DQAKJZ9GJR,CUST58677,PROD67169,2024-03-09 06:50:02,3,372.25
YMR8JQW1GV,CUST90151,PROD86750,2024-03-19 17:45:15,2,234.13
BVXWBFFZ49,CUST37436,PROD27643,2024-02-28 17:09:36,5,600.24
MTN7Y9MPJ8,CUST78968,PROD50689,2024-10-24 09:57:53,4,37.7
84WIP43RBX,CUST66730,PROD14578,2024-04-08 07:25:28,9,535.52
H8GZ6QD78D,CUST60153,PROD34603,2024-05-03 23:42:30,4,650.47
VZLVEF1Z3Q,CUST07669,PROD39940,2023-11-20 04:52:07,5,212.19
QHY60K4O57,CUST19566,PROD28039,2024-05-21 08:05:23,8,878.17
5TXD4PDZ1O,CUST70127,PROD57595,2024-02-10 16:21:40,10,340.57
88Q8SYRIP0,CUST19326,PROD13304,2024-10-22 06:03:09,9,344.89
4IBDXOHGXP,CUST17230,PROD06096,2024-08-23 01:51:40,5,86.58
8MQM3U89FD,CUST50520,PROD92952,2024-11-01 19:02:26,3,736.66
Y1O7WIMIKU,CUST38751,PROD64423,2024-09-07 01:06:54,3,444.13
1OK0TXR7LJ,CUST21648,PROD16971,2024-03-13 15:54:34,3,441.21
AM8Y2TPZMT,CUST42460,PROD84004,2024-05-21 10:39:54,9,643.34
W0PTQ7PKCH,CUST11741,PROD51516,2024-03-03 18:49:14,4,92.26
T38VX6JLCW,CUST01684,PROD61425,2024-11-05 02:07:15,8,619.69
75X2DH81Y0,CUST44864,PROD16983,2024-05-18 04:07:08,8,145.75
UUQX2HDJVQ,CUST35807,PROD56502,2024-08-03 22:33:33,4,244.78
6YFTNN23LS,CUST04873,PROD47346,2024-10-09 14:00:57,4,721.39
TWV5FOPE8N,CUST66643,PROD77614,2024-02-13 18:32:21,9,961.3
CKHTFQGUZ7,CUST96493,PROD13756,2024-01-31 21:41:06,2,679.7
7CQWH7Y4AH,CUST06615,PROD52692,2024-04-22 08:20:06,7,438.41
Z5T7GIVAG0,CUST91376,PROD71758,2024-10-22 20:39:10,6,664.19
W9JE0Z0G6A,CUST93466,PROD96284,2024-07-14 06:05:56,7,516.78
ML4L15VKWH,CUST63703,PROD91137,2024-05-09 22:57:31,9,860.74
CMPY82C0K4,CUST34684,PROD43827,2024-10-18 08:27:43,10,915.6
PBRSRZJOBK,CUST47481,PROD52801,2024-11-07 11:21:26,8,131.63
TN05SLUDSL,CUST65529,PROD59790,2023-11-30 05:45:21,4,63.43
UUKSO9ADRF,CUST63523,PROD31875,2024-09-19 18:16:46,10,60.08
JJA6CEHAGL,CUST36475,PROD79971,2024-08-17 08:52:44,2,172.72
1Z0NWDT2P2,CUST07367,PROD02051,2024-06-13 21:22:34,7,12.0
AO30760SDL,CUST95349,PROD02934,2023-12-13 21:39:59,1,160.9
JTABVT1WOO,CUST54110,PROD07005,2024-10-23 22:34:16,1,357.48
03VDNTXSCA,CUST52759,PROD42341,2024-07-22 20:58:40,1,966.05
9041SG8AC7,CUST59282,PROD64481,2024-10-28 19:56:56,8,809.07
J54KY5T7OV,CUST78477,PROD54619,2024-01-24 18:01:03,2,999.93
KKQ03XZO5Q,CUST41279,PROD14734,2024-04-27 21:14:34,9,735.29
B3KOEJTF44,CUST35576,PROD41879,2023-11-29 09:10:13,7,147.21
VDTH3KMT11,CUST99823,PROD44396,2024-05-13 12:22:01,10,29.6
1GWZEYGGMM,CUST67506,PROD18833,2024-08-13 14:35:57,10,670.55
FDNPJTNNEW,CUST67571,PROD62256,2024-01-20 01:45:34,6,377.7
X5UDGNMR8E,CUST02751,PROD50549,2024-03-25 22:14:38,2,729.42
8LRTLPNL89,CUST73599,PROD34077,2024-05-17 14:41:39,3,469.55
4BT3377ROE,CUST86140,PROD03163,2024-10-25 21:42:43,3,746.82
5AZ8SIRMBA,CUST64644,PROD27399,2024-03-26 08:04:05,1,246.69
ZQVSFE0NYH,CUST17177,PROD30642,2024-03-09 15:03:01,8,283.87
IDI6WLRNLS,CUST42049,PROD52197,2024-03-27 10:16:28,10,829.76
W6U1YGS6Q3,CUST37791,PROD97656,2024-05-02 22:59:19,9,690.37
50ED5MS4HR,CUST54188,PROD65403,2024-08-11 21:51:22,3,966.11
1A2LHS8647,CUST47591,PROD71280,2024-08-22 06:08:02,3,620.22
PR1R5YO2ZF,CUST65275,PROD70306,2024-06-13 22:41:07,7,947.63
6LAUDL8P0M,CUST79848,PROD42961,2024-07-03 10:57:01,2,135.71
CS2S1G36JX,CUST18647,PROD21185,2024-02-09 12:29:10,7,284.34
JZ8741N3ZM,CUST03241,PROD81446,2024-07-08 04:21:03,2,155.51
WN1NXI3AUW,CUST29317,PROD94903,2024-02-15 04:26:34,9,409.29
ZGHHCQW5XL,CUST41526,PROD08184,2024-10-28 09:40:37,7,55.08
IB16K74BQ4,CUST85341,PROD15493,2024-07-07 15:16:30,9,587.72
BXX55HRV2J,CUST04308,PROD34598,2024-10-28 15:06:09,2,583.07
75YG1G6SJR,CUST24281,PROD70694,2024-09-08 08:51:08,3,441.85
RFMZ897ZZK,CUST33422,PROD96197,2024-03-28 09:39:49,7,812.67
Y4DLYANR08,CUST01088,PROD19850,2024-11-02 05:49:27,1,593.33
9P45UFDXAL,CUST06766,PROD51206,2024-02-29 23:42:30,8,935.34
SQ77UOMWL1,CUST18471,PROD91500,2024-06-19 07:10:44,10,905.81
PTN0WZQITX,CUST22495,PROD02597,2024-09-10 00:10:09,8,918.33
XQEJK2SCLJ,CUST64610,PROD73049,2024-10-26 02:55:46,1,618.12
7QCHOME62D,CUST21649,PROD20188,2024-02-05 09:27:52,3,717.04
TX25933AR4,CUST64796,PROD95897,2024-07-16 16:10:07,8,587.27
7M8XRL6DDU,CUST02133,PROD21891,2024-02-15 15:57:48,10,41.84
H8UMABY4PY,CUST22459,PROD74139,2024-01-04 21:46:46,1,483.42
C1ZB5RDUK5,CUST64022,PROD70856,2024-03-06 08:19:10,10,600.64
RMQOH9XDO2,CUST56442,PROD60055,2023-11-28 04:57:21,7,185.04
QDCES9GOZ0,CUST42471,PROD38332,2023-11-27 23:21:33,10,494.75
A3KFV7EZ8G,CUST25818,PROD61962,2023-11-19 05:10:47,9,934.51
MTQ8LS1ACN,CUST02463,PROD96408,2024-04-26 14:59:16,7,786.55
H1LJ2YS7PY,CUST57106,PROD78943,2024-05-26 13:55:22,4,993.45
2YEP232MJG,CUST27417,PROD39756,2024-02-11 01:22:24,1,75.51
TJWWD3WAXE,CUST12045,PROD28000,2024-01-09 23:03:56,4,123.77
TZ1UKSVHZD,CUST19387,PROD31944,2024-06-15 06:34:28,10,558.44
3A9F3U4FBI,CUST22160,PROD68257,2024-08-05 18:00:01,6,61.34
H6MU55KOXA,CUST59761,PROD90209,2024-07-06 09:38:35,6,771.25
69XH7C030J,CUST85866,PROD46910,2024-06-11 15:47:10,5,355.86
N1GDHGD35G,CUST95540,PROD54177,2024-07-02 13:26:20,8,465.19
WDFC7RIDTT,CUST33532,PROD49920,2024-02-12 09:36:27,10,302.73
FZJRKLZW2P,CUST08426,PROD64862,2024-07-20 09:03:14,10,129.89
ZDKDMWW7XG,CUST69822,PROD54025,2024-03-26 01:24:59,7,277.7
ONY9CYKT0F,CUST52747,PROD92962,2023-12-27 04:33:22,9,300.14
TZWS4SF9BT,CUST70276,PROD89026,2024-06-07 11:12:04,9,321.19
ENER8D0NT5,CUST66385,PROD88001,2024-05-03 21:13:14,7,347.44
6AOKLU4JW5,CUST47282,PROD11469,2024-07-25 07:25:16,8,778.68
4RKV0J8K7Z,CUST24857,PROD30237,2023-12-14 07:20:16,8,729.38
1FLGRGKSDB,CUST76503,PROD62273,2024-09-22 08:09:06,6,192.7
78A3Y5H8LN,CUST28211,PROD64632,2024-02-11 17:57:08,10,927.25
FAP1CF9A4N,CUST77246,PROD02548,2024-03-14 01:01:23,8,582.76
O0HTQS4GUS,CUST74090,PROD85410,2024-01-09 17:47:22,10,927.45
WXJX47GIR8,CUST15746,PROD27068,2024-06-16 08:05:31,2,822.86
HGG773E78Y,CUST37887,PROD05356,2024-04-04 00:40:16,2,477.54
ZEFILNL7MY,CUST34205,PROD43325,2024-01-07 20:10:31,2,442.74
OK200DYUDI,CUST73632,PROD19093,2024-07-21 00:37:11,4,197.13
9HHEUQ7LM3,CUST01274,PROD45134,2024-01-18 15:05:33,5,203.27
32CYWC52CM,CUST74397,PROD61134,2023-12-27 17:04:19,2,340.15
97YEC3HD3M,CUST79838,PROD23143,2024-01-02 13:11:10,4,448.88
SX6MJ6C3KJ,CUST42703,PROD14949,2024-11-11 05:23:21,4,705.71
ZAVYPGGLV9,CUST87073,PROD17059,2024-04-12 05:00:07,9,945.38
5T7NVKZHWH,CUST17873,PROD13248,2024-10-15 06:33:17,7,359.06
QE7HNJDOV9,CUST45216,PROD26634,2024-08-22 05:50:40,2,577.75
1D82C152TU,CUST25132,PROD18619,2024-10-29 11:31:20,9,285.21
ZV0G4VCEQ7,CUST71753,PROD48804,2024-05-17 11:56:09,10,282.34
OBA3UQF79U,CUST33298,PROD04738,2024-09-12 16:58:40,10,862.28
9K4V7CKYGK,CUST41717,PROD48893,2024-03-17 18:31:21,7,411.61
NSN4RI7PWC,CUST99842,PROD63437,2024-07-07 09:25:46,5,20.5
OOU9GGNZ67,CUST86042,PROD84833,2024-04-13 21:28:22,7,729.83
1YU5L84BWB,CUST55344,PROD93740,2024-06-18 02:43:51,8,726.13
XV545W62VN,CUST96056,PROD53743,2024-03-13 10:45:25,3,904.8
PL3HQILUBV,CUST06683,PROD51323,2024-07-02 17:11:00,4,478.25
RM7E8MRZCQ,CUST81459,PROD58247,2024-03-18 03:47:21,10,442.34
RQ5A12HWYE,CUST48178,PROD01999,2024-02-04 02:47:39,9,755.09
RBOYV3IYG9,CUST51739,PROD96133,2023-12-02 16:27:16,3,184.95
A2I21WXQ2L,CUST05316,PROD20656,2024-08-24 12:24:30,3,500.02
0EDS2MQJWT,CUST20696,PROD00592,2024-10-15 19:57:55,8,67.33
JL4HJI77F1,CUST73999,PROD10910,2024-07-19 19:30:07,2,71.75
5GAKDSR04K,CUST92239,PROD92156,2024-06-28 20:09:48,8,414.42
KZWVUFL0IY,CUST83571,PROD43863,2024-03-13 01:00:38,10,553.05
JW0XNUIXHO,CUST55918,PROD09501,2023-12-18 22:11:28,2,697.02
SG7EYE4VOC,CUST39457,PROD20558,2024-07-17 05:02:38,6,174.64
MN3NY4XJIW,CUST89250,PROD32475,2024-05-09 11:16:23,5,408.67
OY5W73SRT0,CUST48355,PROD71658,2024-04-13 13:13:00,5,43.2
GM7QMO80XA,CUST49245,PROD89598,2024-07-10 00:27:30,2,770.71
VYDIBDJC1J,CUST65417,PROD92276,2024-01-18 18:13:25,10,623.4
FH3M29TWCJ,CUST49705,PROD77114,2024-07-29 06:16:07,3,822.28
PWTJO5R2RC,CUST24652,PROD46821,2024-03-04 21:32:56,2,328.31
2RDFUKSYA2,CUST82427,PROD46945,2024-03-27 03:16:12,3,300.79
WSCA0C2KWA,CUST44109,PROD90028,2023-11-17 23:49:45,5,796.94
OKPIWA5D8B,CUST42120,PROD93000,2024-09-04 10:42:49,1,561.96
B0PS94KB3P,CUST96462,PROD24423,2024-09-24 02:40:20,1,323.85
5IG1A0MPE7,CUST41522,PROD54689,2024-01-13 01:03:10,5,440.7
GTIJT6H9VU,CUST01078,PROD10894,2024-09-19 22:49:09,7,777.36
Q7KY17K20S,CUST96509,PROD73602,2024-07-29 22:19:09,4,183.99
XNOPJ9J5YV,CUST33903,PROD56999,2024-06-15 08:46:27,9,13.86
SQ8C2ZKOWW,CUST82472,PROD43189,2024-07-19 09:18:02,2,678.82
UMEB3N6XZJ,CUST37326,PROD44742,2024-03-10 17:18:43,1,189.3
CUOH889LWA,CUST31041,PROD51068,2024-04-09 05:32:35,8,364.8
IE2F8XP04E,CUST17545,PROD39834,2024-01-28 01:01:38,5,17.03
3WX7LL4WT0,CUST28520,PROD52441,2024-04-23 01:38:51,3,259.04
4AYUEXEF48,CUST92046,PROD37305,2024-01-21 19:09:04,5,636.46
72ALEMP46U,CUST53928,PROD97658,2024-05-12 09:29:34,7,172.45
PP0ZE3AQ98,CUST87259,PROD53645,2024-06-01 20:22:52,2,661.01
RFQ2J3Q61X,CUST86589,PROD66548,2023-11-26 08:02:26,6,348.8
WIUN9ZEZKT,CUST65633,PROD39376,2024-06-05 04:17:34,9,905.78
ZLWNKBCXAQ,CUST49734,PROD67298,2024-11-14 21:45:04,3,182.62
T224OMBCQE,CUST16058,PROD79300,2024-10-12 16:31:36,2,948.53
6OIJV7CL4R,CUST07527,PROD85378,2024-03-01 11:22:17,9,418.23
ZX6A31TJEP,CUST31635,PROD23681,2024-02-27 14:45:35,10,345.12
9ZNPO9HHII,CUST39381,PROD07001,2024-07-29 23:31:01,5,175.85
WABL8VD8QN,CUST69210,PROD51325,2024-04-12 01:06:29,1,284.59
4DQ4EUDWQ1,CUST51738,PROD01815,2024-07-13 09:20:48,6,484.81
DMPVVKRELE,CUST07782,PROD75595,2024-10-23 10:18:30,5,105.12
I0Y7RXBWCU,CUST90159,PROD15045,2024-09-24 01:24:55,9,435.06
1IREF0TO33,CUST80262,PROD95466,2024-06-16 22:43:50,8,391.82
9SFO9KD631,CUST78212,PROD45509,2024-06-08 21:45:10,7,869.03
KF87KBTYCO,CUST97596,PROD89783,2024-04-17 08:14:10,7,320.84
RVT0HG2YRK,CUST65207,PROD95806,2024-10-05 16:28:36,9,730.5
QP7I4WF2FX,CUST58810,PROD51904,2024-02-06 01:59:52,3,231.96
NPEOT1D63K,CUST36252,PROD96502,2024-03-08 16:02:14,4,688.56
M90CXR7SWC,CUST82072,PROD62089,2024-04-19 01:30:38,8,482.57
VQS928J30V,CUST47173,PROD12473,2024-05-18 22:30:54,8,71.42
7N3BB1SXYE,CUST54138,PROD67819,2024-07-11 11:05:15,7,405.89
R2TBSH3LDP,CUST91678,PROD15344,2024-02-07 09:38:07,7,126.15
WGIDDR7N1W,CUST71027,PROD76521,2024-08-11 15:28:47,6,110.88
0WUV608TS8,CUST09957,PROD99687,2023-12-01 10:47:35,5,474.11
Q1WG5IJMUK,CUST66294,PROD31263,2024-10-25 23:24:33,6,797.57
Q8B71VRGID,CUST82892,PROD74344,2024-10-23 18:24:21,6,634.01
320NCZ3I7V,CUST59388,PROD25612,2023-11-24 21:33:21,4,635.75
6F5HE1F2Z6,CUST01370,PROD05841,2024-08-18 13:53:45,6,946.37
8WO8I516PD,CUST84695,PROD70436,2024-08-23 12:04:16,6,448.74
9L0JUO3IYS,CUST15757,PROD66974,2024-10-20 14:13:38,3,437.59
TULI2MOFJI,CUST66528,PROD17219,2024-03-05 19:33:55,9,533.08
6S4L7QN7X8,CUST56396,PROD91173,2024-07-21 18:28:00,4,816.94
DGSSEQKCNS,CUST32038,PROD68533,2024-05-22 21:12:49,2,671.14
RI0OWQ9UHG,CUST92470,PROD81381,2024-10-29 12:56:52,1,322.14
U8X3D9HMK9,CUST92602,PROD91167,2024-08-28 19:25:21,2,684.15
29TL8UWM2O,CUST71906,PROD05103,2024-02-16 11:23:55,4,578.42
ZJ89V901TE,CUST75395,PROD79585,2024-01-25 09:46:05,5,187.13
W9F7J2CZEP,CUST69293,PROD12382,2024-06-23 12:35:15,4,290.13
XJMT8H4UCL,CUST80330,PROD87079,2023-11-22 13:51:27,3,239.2
MCCX3XXL7U,CUST32352,PROD58895,2024-07-30 19:32:16,8,234.2
36DM0DQDMN,CUST46977,PROD50431,2024-08-21 21:35:01,7,707.83
M6C5HK1F5S,CUST66688,PROD95094,2024-10-02 18:10:04,5,600.1
6948NJFGLD,CUST49996,PROD13590,2024-11-09 09:32:19,4,991.74
1F14YLG3X8,CUST58675,PROD56799,2024-05-20 15:12:55,6,444.0
UQOT4KK9ZA,CUST84268,PROD94084,2024-11-01 08:44:10,5,740.3
G7NHLDPGTS,CUST44727,PROD47179,2024-08-24 11:50:25,8,541.37
2CWTFLL5IU,CUST58145,PROD78072,2023-11-23 12:16:17,1,67.43
FD6CPDZHWG,CUST12563,PROD25346,2024-03-25 13:56:56,10,567.58
1PBY9DEGBV,CUST07989,PROD63097,2024-07-13 10:10:41,10,523.76
BJOCIT4T44,CUST59194,PROD93504,2024-04-20 17:49:24,10,832.09
8G5IMJA701,CUST44207,PROD73785,2023-12-26 07:26:42,4,824.86
5Z4P78NDSH,CUST50587,PROD29895,2024-04-13 06:56:10,10,157.63
